customer_id,name,email,phone,city,state,pincode,gender,age,registration_date,loyalty_points,is_premium
CUST000001,Warinder Chakrabarti,warinder.chakrabarti143@gmail.com,9685582861,MUMBAI,Maharashtra,ABCDE,female,19,2026-03-03,3436,No
CUST000002,Baghyawati Narula,NA,9331191390,Mumbai,Maharashtra,974416,Male,40,2024-02-09,4392,No
CUST000003,Vinaya Mallick,vinaya.mallick883@hotmail.com,9856528252,CHENNAI,Tamil Nadu,192385,1,32,2025-03-16,2988,No
CUST000004,Anya Kant,anya.kant74@rediffmail.com,9673528321,Chennai,Tamil Nadu,927262,1,58,2025/03/11,458,Yes
CUST000005,Harinakshi Mandal,harinakshi.mandal966@rediffmail.com,9437882805,Pune ,Maharashtra,826337,F,27,2023-08-17,2152,No
CUST000006,Yachana Morar,yachana.morar142@rediffmail.com,9911514914,PUNE,Maharashtra,647682,Other,45,2023-09-10,3834,Yes
CUST000007,Charita Madan,charita.madan274@hotmail.com,N/A,delhi,,083842,FEMALE,50,2023-06-04,2444,Yes
CUST000008,,neha.solanki945@rediffmail.com,9743111853,Indore,,039317,,37,2022-09-21,645,No
CUST000009,Akshay Devan,akshay.devan676outlook.com,9277303722, Indore,Madhya Pradesh,724342,Female,52,2023-08-07,3268,0
CUST000010,Vasatika De,vasatika.de66@hotmail.com,,Jaipur ,Rajasthan,,Female,20,,3976,Yes
CUST000011,Devika Chad,devika.chad804@outlook.com,9304451095,PATNA,Bihar,522931,male,0,2022-11-06,496,No
CUST000012,Bhavika Sarna,bhavika.sarna460@yahoo.com,9399085574,Delhi,Delhi,,,0,2025-06-24,764,no
CUST000013,Anusha Sankar,anusha.sankar925@gmail.com,+91-91023-14313,Ahmedabad,Gujarat,518192,male,45,2024-01-12,3986,No
CUST000014,Manthan Kumer,manthan.kumer766@hotmail.com,,Mumbai,Maharashtra,127217,Male,999,26/08/2023,1926,Yes
CUST000015,Samarth Vaidya,samarth.vaidya598@rediffmail.com,9379995032,Mumbai ,Maharashtra,552825,Female,60,2024-03-14,594,Yes
CUST000016,Arya Dada,arya.dada358gmail.com,9496776692,,Telangana,312998,Female,59,2025-01-13,848,yes
CUST000017,krishna seshadri,krishna.seshadri279@hotmail.com,9870530217,Patna,Bihar,373301,female,34,2023-07-20,,No
CUST000018,Libni Rau,libni.rau269@yahoo.com,9692362342,Kolkata,West Bengal,722038,0,62,2026-04-05,4771,No
CUST000019,Vivaan Sabharwal,vivaan.sabharwal996@gmail.com,9325567963,Chennai,Tamil Nadu,197645,female,44,2025-06-18,1939,yes
CUST000020,.,xiti.warrior802@outlook.com,9889262019,Mumbai,Maharashtra,137883,Male,20,2026-05-30,3770,Yes
CUST000021,Balvan Divan,balvan.divan886@gmail.com,9399708182,Lucknow,Uttar Pradesh,736989,NA,39,11-11-2024,1462,No
CUST000022,Maya Kara,maya.kara322@outlook.com,9649136331,surat,Gujarat,111225,Male,,2022-09-18,1614,Yes
CUST000023,Ridhi Doctor,ridhi.doctor869@gmail.com,9422468580,Patna,Bihar,953843,MALE,53,2025-03-09,1425,No
CUST000024,NACHIKET RAU,nachiket.rau441@rediffmail.com,9446012478,Bhopal,Madhya Pradesh,907981,male,65,08-02-2026,2745,Yes
CUST000025,Siddharth Sane,NA,9756350429,Hyderabad,Telangana,133809,F,30,2022-12-18,1208,Yes
CUST000026,Peter Raja,PETER.RAJA436@YAHOO.COM,919847229579,Bhopal,,119043,NA,47,2024-12-18,4578,No
CUST000027,Divya Ratti,divya.ratti929@rediffmail.com,9270894498,Nagpur,Maharashtra,698828,Female,58,2023-10-21,1959,Yes
CUST000028,Unnati Tank,unnati.tank554@gmail.com,+91-93483-15126,Hyderabad,Telangana,336534,male,39,2024-12-04,3441,Yes
CUST000029,Shravya Madan,shravya.madan966@hotmail.com,9518744974,Indore,Madhya Pradesh,518410,FEMALE,52,2023-04-19,2235,Yes
CUST000030,Eiravati Garde,eiravati.garde170@outlook.com,9768143326,Lucknow,Uttar Pradesh,844065,MALE,23,15-06-2025,411,No
CUST000031,Yashawini Mall,yashawini.mall285@outlook.com,9187946147,Kolkata,West Bengal,,Female,22,2023-09-03,2025,Yes
CUST000032,abha borra,abha.borra578@yahoo.com,9375139575,Hyderabad,Telangana,464753,FEMALE,25,28/07/2024,4740,No
CUST000033,Nitara Suri,nitara.suri733@yahoo.com,,Patna,Bihar,200341,Female,61,12-09-2024,336,No
CUST000034,Bachittar Pall,bachittar.pall870@outlook.com,9213321496,Delhi,Delhi,717744,male,27,2024-08-08,2212,No
CUST000035,Tara Khare,tara.khare873@yahoo.com,9193053577, Bhopal,Madhya Pradesh,304366,M,60,,1489,No
